ReqNo,Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage
1,privspec,Misc,SupportedLevels,"""At any time a RISC-V hardware thread (hart) is running at some privilege level encoded as a mode in one or more CSRs [User Supervisor (Reserved) Machine]""",Run all supported levels (U-mode; M-mode); ensure no unsupported levels can be run (S-mode; reserved).,Assertion Check,ENV capability; not specific test,Functional Coverage,
2,,,ResetMode,"""M-mode [...] is the first mode entered at reset.""",Wait for reset to end - ensure that the core is in M-mode.,Assertion Check,ENV capability; not specific test,Assertion Coverage,
3,,,Refetch,Before a mode change; instructions can have been prefetched and exist in the pipeline but the fetching was done in a different mode than what is changed to. This should not allow for privilege escalation so the instructions must be refetched.,Make the core change privilege mode and let the first instruction that is attempted to be executed in the new mode follow on the address after the last instruction that was executed in the previous mode. But also 1) change the memory value of the new instruction then observe that two fetches occur and that the latest value is being executed and/or 2) let the second instruction have different PMP settings so a difference can be observed in the two fetches.,Assertion Check,Constrained-Random,Functional Coverage,
4,obi,,InstrProt,"""prot[2:1]: User/Application (2’b00); Supervisor (2’b01); Reserved (2’b10); Machine (2’b11). This matches the privilege levels from [RISC-V-PRIV].""",Track prot[2:1] on instruction fetches on obi then observe retirements on rvfi and ensure the effective privilege mode of the instruction's execution matches what it was fetched as on obi.,Assertion Check,Constrained-Random,Functional Coverage,
5,,,DataProt,,Track prot[2:1] on data loads/stores observe retirements on rvfi and ensure the effective privilege mode of the retirement matches what was used on obi.,Assertion Check,Constrained-Random,Functional Coverage,
6,privspec,CSRs,IllegalAccess,The next two bits (csr[9:8]) encode the lowest privilege level that can access the CSR. Attempts to access a CSR without appropriate privilege level […] also raise illegal instruction exceptions.,Try all kinds of accesses (R W RW S C …) to all M-level CSRs while in U-level; ensure illegal instruction exception happens. (Hint: Assert RVFI vs csr[9:8]) (Note: Might need to excuse mcounteren),Assertion Check,Constrained-Random,Functional Coverage,
7,,,MisaU,"""The “U” and “S” bits will be set if there is support for user and supervisor modes respectively.""","Read misa and see that ""U"" is always on.",Assertion Check,ENV capability; not specific test,Functional Coverage,
8,,,MisaN,"""N   Tentatively reserved for User-Level Interrupts extension""","Read misa and see that ""N"" is always off.",Assertion Check,ENV capability; not specific test,Functional Coverage,
9,,,UserExtensions,If both XS and FS are hardwired to zero; then SD is also always zero. In systems without additional user extensions requiring new state; the XS field is hardwired to zero. If neither the F extension nor S-mode is implemented; then FS is hardwired to zero. None of those 3 are implemented; so they should all be zero.,Check that mstatus {XS; FS; SD} are all 0.,Assertion Check,ENV capability; not specific test,Functional Coverage,
10,,,MscratchReliable,"""the OS can rely on holding a value in the mscratch register while the user context is running.""",Check that mscratch never changes in U-mode.,Assertion Check,Constrained-Random,Functional Coverage,
11,,,MppValues,"""xPP fields are WARL fields that can hold only privilege mode x and any implemented privilege mode lower than x""","Check that MPP can hold ""M"" and ""U"" and that it can hold nothing else.",Assertion Check,Constrained-Random,Functional Coverage,
